INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev
FUTIDX,BANKNIFTY,0.0,XX,43152.0,43348.0,43116.95,43311.6,43311.6,84232,910482.6,2312900,6800,03-MAY-2023,,25-05-2023,43367.25,2306100
FUTIDX,NIFTY,0.0,XX,18154.9,18180.0,18100.3,18149.95,18149.95,135798,1231729.9,9573200,-13900,03-MAY-2023,,25-05-2023,18213.15,9587100
FUTSTK,AARTIIND,0.0,XX,558.7,560.4,552.15,553.75,553.75,863,4080.17,3473950,45050,03-MAY-2023,,25-05-2023,559.65,3428900
FUTSTK,ABB,0.0,XX,3449.45,3505.0,3423.15,3477.1,3477.1,1967,17060.81,1432000,129500,03-MAY-2023,,25-05-2023,3458.05,1302500
FUTSTK,ABBOTINDIA,0.0,XX,22434.55,22779.75,22407.4,22728.75,22728.75,292,2646.25,68080,2080,03-MAY-2023,,25-05-2023,22499.75,66000
FUTSTK,ABCAPITAL,0.0,XX,168.45,171.25,167.6,169.95,169.95,1361,12483.1,27880200,178200,03-MAY-2023,,25-05-2023,169.05,27702000
FUTSTK,ABFRL,0.0,XX,226.0,228.15,223.8,225.6,225.6,2156,12660.78,21598200,-431600,03-MAY-2023,,25-05-2023,225.8,22029800
FUTSTK,ACC,0.0,XX,1769.7,1785.9,1724.95,1755.15,1755.15,4522,19847.56,3741750,13750,03-MAY-2023,,25-05-2023,1775.2,3728000
FUTSTK,ADANIENT,0.0,XX,1929.05,1953.5,1792.0,1849.15,1849.15,25935,120538.31,8204750,-637250,03-MAY-2023,,25-05-2023,1929.5,8842000
FUTSTK,ADANIPORTS,0.0,XX,679.55,687.45,659.1,673.15,673.15,10311,43354.62,36929375,93125,03-MAY-2023,,25-05-2023,683.85,36836250
FUTSTK,ALKEM,0.0,XX,3523.9,3549.3,3506.15,3541.55,3541.55,549,3878.18,610800,-25800,03-MAY-2023,,25-05-2023,3531.3,636600
FUTSTK,AMBUJACEM,0.0,XX,393.05,402.75,377.05,384.95,384.95,17150,120103.29,65188800,1197000,03-MAY-2023,,25-05-2023,396.95,63991800
FUTSTK,APOLLOHOSP,0.0,XX,4508.25,4542.95,4500.3,4537.35,4537.35,1877,10611.14,1353125,-10000,03-MAY-2023,,25-05-2023,4518.05,1363125
FUTSTK,APOLLOTYRE,0.0,XX,347.95,359.65,346.5,356.95,356.95,3600,44725.35,13706000,1386000,03-MAY-2023,,25-05-2023,348.25,12320000
FUTSTK,ASHOKLEY,0.0,XX,143.65,145.45,143.65,144.65,144.65,1363,9864.2,45385000,70000,03-MAY-2023,,25-05-2023,144.5,45315000
