INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev
FUTSTK,ONGC,0.0,XX,164.35,164.35,161.5,161.9,161.9,3729,23360.85,56260050,334950,03-MAY-2023,,25-05-2023,165.4,55925100
FUTSTK,PAGEIND,0.0,XX,40250.0,40904.0,39711.35,40711.25,40711.25,1623,9895.3,118770,-3675,03-MAY-2023,,25-05-2023,40308.2,122445
FUTSTK,PEL,0.0,XX,742.9,755.0,741.05,747.45,747.45,2066,8492.44,8734000,105600,03-MAY-2023,,25-05-2023,747.15,8628400
FUTSTK,PERSISTENT,0.0,XX,4720.2,4737.55,4665.05,4686.15,4686.15,1900,15617.9,1113350,10850,03-MAY-2023,,25-05-2023,4730.85,1102500
FUTSTK,PETRONET,0.0,XX,238.65,243.6,236.55,237.5,237.5,1831,13159.71,14073000,246000,03-MAY-2023,,25-05-2023,238.65,13827000
FUTSTK,PFC,0.0,XX,173.95,176.2,171.15,171.55,171.55,3792,40782.99,64728000,2969800,03-MAY-2023,,25-05-2023,174.8,61758200
FUTSTK,PIDILITIND,0.0,XX,2431.3,2483.75,2426.95,2474.5,2474.5,2642,16282.11,2689250,-92750,03-MAY-2023,,25-05-2023,2431.9,2782000
FUTSTK,PIIND,0.0,XX,3414.9,3447.3,3392.65,3438.75,3438.75,1077,9218.74,2225750,-30250,03-MAY-2023,,25-05-2023,3416.6,2256000
FUTSTK,PNB,0.0,XX,52.5,53.25,52.25,52.95,52.95,3268,27643.39,222208000,-1248000,03-MAY-2023,,25-05-2023,53.05,223456000
FUTSTK,POLYCAB,0.0,XX,3236.4,3306.0,3236.35,3286.55,3286.55,1914,18839.58,1302600,100200,03-MAY-2023,,25-05-2023,3257.65,1202400
FUTSTK,POWERGRID,0.0,XX,240.1,242.9,239.8,240.6,240.6,1520,9903.31,27499500,-18900,03-MAY-2023,,25-05-2023,241.3,27518400
FUTSTK,PVR,0.0,XX,1495.95,1503.5,1478.3,1490.0,1490.0,1986,12036.42,3100933,129426,03-MAY-2023,,25-05-2023,1490.3,2971507
FUTSTK,RAIN,0.0,XX,164.25,164.65,161.45,162.75,162.75,335,1910.29,11144000,-80500,03-MAY-2023,,25-05-2023,164.6,11224500
FUTSTK,RAMCOCEM,0.0,XX,742.1,754.95,741.0,748.6,748.6,1020,6501.83,3666900,87550,03-MAY-2023,,25-05-2023,744.5,3579350
FUTSTK,RBLBANK,0.0,XX,154.15,157.85,152.7,155.9,155.9,2754,21476.2,38245000,-155000,03-MAY-2023,,25-05-2023,155.5,38400000
FUTSTK,RECLTD,0.0,XX,137.75,139.1,136.25,136.8,136.8,2660,29278.79,57360000,-1024000,03-MAY-2023,,25-05-2023,137.4,58384000
FUTSTK,RELIANCE,0.0,XX,2448.15,2451.2,2422.25,2428.65,2428.65,16003,97224.47,32082500,7750,03-MAY-2023,,25-05-2023,2450.05,32074750
FUTSTK,SAIL,0.0,XX,85.05,85.9,84.4,85.45,85.45,2858,19464.7,99504000,-2504000,03-MAY-2023,,25-05-2023,85.15,102008000
FUTSTK,SBICARD,0.0,XX,774.2,789.5,770.5,784.3,784.3,2130,13321.46,8129600,29600,03-MAY-2023,,25-05-2023,781.9,8100000
FUTSTK,SBILIFE,0.0,XX,1143.3,1155.0,1140.8,1142.95,1142.95,880,7559.87,7344000,-72000,03-MAY-2023,,25-05-2023,1157.05,7416000
FUTSTK,SBIN,0.0,XX,573.8,575.6,570.15,571.2,571.2,9798,84148.4,55017000,1071000,03-MAY-2023,,25-05-2023,575.65,53946000
FUTSTK,SHREECEM,0.0,XX,24024.0,24417.8,24024.0,24366.8,24366.8,1613,9792.63,321025,-4650,03-MAY-2023,,25-05-2023,24268.2,325675
FUTSTK,SHRIRAMFIN,0.0,XX,1325.0,1340.7,1321.3,1324.15,1324.15,1290,10279.95,4663200,4200,03-MAY-2023,,25-05-2023,1331.85,4659000
FUTSTK,SIEMENS,0.0,XX,3501.25,3559.0,3484.25,3553.3,3553.3,1827,17754.07,1750925,43725,03-MAY-2023,,25-05-2023,3514.3,1707200
FUTSTK,SRF,0.0,XX,2551.2,2586.0,2550.0,2580.25,2580.25,1098,10580.91,2527125,-55500,03-MAY-2023,,25-05-2023,2564.35,2582625
FUTSTK,SUNPHARMA,0.0,XX,975.95,977.75,965.9,969.15,969.15,3541,24061.25,20961500,240100,03-MAY-2023,,25-05-2023,978.35,20721400
FUTSTK,SUNTV,0.0,XX,436.35,445.05,434.65,436.7,436.7,1000,6590.88,7738500,196500,03-MAY-2023,,25-05-2023,437.75,7542000
FUTSTK,SYNGENE,0.0,XX,694.55,710.25,691.35,694.0,694.0,1455,10163.92,2853000,108000,03-MAY-2023,,25-05-2023,697.8,2745000
FUTSTK,TATACHEM,0.0,XX,977.9,1003.6,976.2,998.75,998.75,4775,23658.12,4330500,-49500,03-MAY-2023,,25-05-2023,978.45,4380000
FUTSTK,TATACOMM,0.0,XX,1261.35,1261.35,1242.55,1246.7,1246.7,673,4205.23,2006000,-12500,03-MAY-2023,,25-05-2023,1262.55,2018500
FUTSTK,TATACONSUM,0.0,XX,772.0,782.45,770.0,777.9,777.9,1920,13436.05,10023300,225900,03-MAY-2023,,25-05-2023,775.7,9797400
FUTSTK,TATAMOTORS,0.0,XX,481.95,488.65,480.2,486.75,486.75,6849,47279.29,55257225,-540075,03-MAY-2023,,25-05-2023,482.95,55797300
FUTSTK,TATAPOWER,0.0,XX,202.25,205.45,201.5,204.55,204.55,4517,31105.99,85785750,-735750,03-MAY-2023,,25-05-2023,202.85,86521500
FUTSTK,TATASTEEL,0.0,XX,110.45,111.6,109.4,110.35,110.35,11810,71687.05,193088500,-852500,03-MAY-2023,,25-05-2023,111.05,193941000
FUTSTK,TCS,0.0,XX,3225.05,3228.55,3194.0,3200.3,3200.3,11692,65587.87,8752975,371525,03-MAY-2023,,25-05-2023,3237.95,8381450
FUTSTK,TECHM,0.0,XX,1050.05,1057.6,1044.45,1046.35,1046.35,4054,25539.69,9471600,53400,03-MAY-2023,,25-05-2023,1058.1,9418200
FUTSTK,TITAN,0.0,XX,2680.0,2693.8,2653.0,2667.0,2667.0,5184,51931.67,4789500,-79500,03-MAY-2023,,25-05-2023,2681.5,4869000
FUTSTK,TORNTPHARM,0.0,XX,1662.7,1686.25,1657.0,1664.55,1664.55,734,6133.19,1469000,-74000,03-MAY-2023,,25-05-2023,1663.4,1543000
FUTSTK,TRENT,0.0,XX,1407.2,1415.7,1383.15,1393.25,1393.25,1581,8834.79,3635600,92000,03-MAY-2023,,25-05-2023,1411.3,3543600
FUTSTK,TVSMOTOR,0.0,XX,1157.0,1167.95,1145.4,1157.9,1157.9,2101,16952.79,7256900,52500,03-MAY-2023,,25-05-2023,1161.45,7204400
FUTSTK,UBL,0.0,XX,1437.55,1461.5,1431.1,1437.95,1437.95,2154,12440.63,1917600,282000,03-MAY-2023,,25-05-2023,1443.65,1635600
FUTSTK,ULTRACEMCO,0.0,XX,7511.55,7591.85,7470.15,7556.35,7556.35,5635,42531.01,1765400,-38800,03-MAY-2023,,25-05-2023,7505.55,1804200
FUTSTK,UPL,0.0,XX,757.8,759.8,742.55,744.2,744.2,2117,20603.83,14359800,62400,03-MAY-2023,,25-05-2023,757.45,14297400
FUTSTK,VEDL,0.0,XX,281.5,282.0,276.65,278.65,278.65,3961,22050.7,33420000,1626000,03-MAY-2023,,25-05-2023,282.9,31794000
FUTSTK,VOLTAS,0.0,XX,805.45,819.65,800.75,811.65,811.65,5244,25621.07,7204800,-743400,03-MAY-2023,,25-05-2023,806.8,7948200
FUTSTK,WHIRLPOOL,0.0,XX,1326.85,1340.0,1317.35,1338.1,1338.1,797,3718.92,706300,-52850,03-MAY-2023,,25-05-2023,1322.4,759150
FUTSTK,WIPRO,0.0,XX,385.15,389.55,383.45,386.7,386.7,2802,16288.29,25087500,33000,03-MAY-2023,,25-05-2023,390.7,25054500
FUTSTK,ZEEL,0.0,XX,196.55,198.75,195.6,197.15,197.15,2920,17268.57,84954000,1107000,03-MAY-2023,,25-05-2023,197.75,83847000
FUTSTK,ZYDUSLIFE,0.0,XX,517.5,524.95,516.15,522.75,522.75,607,5700.55,6577200,88200,03-MAY-2023,,25-05-2023,519.7,6489000
