INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT_NUM
FUTIDX,BANKNIFTY,0.0,XX,43360.0,43479.0,43255.65,43367.25,43367.25,79128,858521.16,2306100,15400,02-MAY-2023,,25-05-2023
FUTIDX,NIFTY,0.0,XX,18180.45,18247.25,18180.45,18213.15,18213.15,114511,1043095.75,9587100,832600,02-MAY-2023,,25-05-2023
FUTSTK,AARTIIND,0.0,XX,564.05,568.4,558.6,559.65,559.65,1254,5996.38,3428900,162350,02-MAY-2023,,25-05-2023
FUTSTK,ABB,0.0,XX,3438.7,3483.0,3412.0,3458.05,3458.05,1901,16383.29,1302500,4250,02-MAY-2023,,25-05-2023
FUTSTK,ABBOTINDIA,0.0,XX,22452.9,22738.1,22450.15,22499.75,22499.75,356,3216.01,66000,1320,02-MAY-2023,,25-05-2023
FUTSTK,ABCAPITAL,0.0,XX,169.15,171.4,168.55,169.05,169.05,1597,14630.87,27702000,232200,02-MAY-2023,,25-05-2023
FUTSTK,ABFRL,0.0,XX,224.25,226.95,222.95,225.8,225.8,2132,12475.05,22029800,-639600,02-MAY-2023,,25-05-2023
FUTSTK,ACC,0.0,XX,1769.95,1786.95,1757.8,1775.2,1775.2,3231,14319.96,3728000,131250,02-MAY-2023,,25-05-2023
FUTSTK,ADANIENT,0.0,XX,1936.05,1976.15,1913.65,1929.5,1929.5,13651,66238.33,8842000,-338250,02-MAY-2023,,25-05-2023
FUTSTK,ADANIPORTS,0.0,XX,683.45,688.75,674.8,683.85,683.85,9184,39117.84,36836250,-778750,02-MAY-2023,,25-05-2023
FUTSTK,ALKEM,0.0,XX,3582.0,3582.0,3518.05,3531.3,3531.3,500,3531.84,636600,-15800,02-MAY-2023,,25-05-2023
FUTSTK,AMBUJACEM,0.0,XX,398.2,402.1,391.5,396.95,396.95,7855,56176.22,63991800,1398600,02-MAY-2023,,25-05-2023
FUTSTK,APOLLOHOSP,0.0,XX,4552.25,4597.95,4505.2,4518.05,4518.05,3484,19768.22,1363125,59625,02-MAY-2023,,25-05-2023
FUTSTK,APOLLOTYRE,0.0,XX,348.0,350.85,347.0,348.25,348.25,1168,14258.04,12320000,329000,02-MAY-2023,,25-05-2023
FUTSTK,ASHOKLEY,0.0,XX,145.95,146.45,143.95,144.5,144.5,3525,25515.54,45315000,-2465000,02-MAY-2023,,25-05-2023
FUTSTK,ASIANPAINT,0.0,XX,2914.5,2950.9,2908.15,2914.15,2914.15,5038,29492.76,5759800,32400,02-MAY-2023,,25-05-2023
FUTSTK,ASTRAL,0.0,XX,1457.85,1503.25,1454.1,1489.85,1489.85,2881,15653.96,1776647,119642,02-MAY-2023,,25-05-2023
FUTSTK,ATUL,0.0,XX,6685.0,6728.65,6481.05,6586.1,6586.1,4424,21838.31,236850,34650,02-MAY-2023,,25-05-2023
FUTSTK,AUBANK,0.0,XX,658.2,679.55,656.05,675.55,675.55,3858,25906.73,11162000,-125000,02-MAY-2023,,25-05-2023
FUTSTK,AUROPHARMA,0.0,XX,620.05,625.75,615.0,621.65,621.65,1990,12351.17,11141000,250000,02-MAY-2023,,25-05-2023
FUTSTK,AXISBANK,0.0,XX,872.2,881.65,868.5,874.7,874.7,17354,182403.29,55063200,-3873600,02-MAY-2023,,25-05-2023
FUTSTK,BAJAJ-AUTO,0.0,XX,4409.8,4480.0,4405.0,4473.6,4473.6,3077,34283.24,2782500,99000,02-MAY-2023,,25-05-2023
FUTSTK,BAJAJFINSV,0.0,XX,1378.35,1378.35,1354.15,1357.65,1357.65,3760,25607.86,9034500,178500,02-MAY-2023,,25-05-2023
FUTSTK,BAJFINANCE,0.0,XX,6334.95,6347.95,6267.2,6280.05,6280.05,8749,68886.7,4241625,-33000,02-MAY-2023,,25-05-2023
FUTSTK,BALKRISIND,0.0,XX,2103.9,2128.0,2080.15,2121.45,2121.45,1390,8792.06,1518000,-24600,02-MAY-2023,,25-05-2023
FUTSTK,BALRAMCHIN,0.0,XX,415.1,422.5,415.1,419.5,419.5,3337,22395.23,6003200,312000,02-MAY-2023,,25-05-2023
FUTSTK,BANDHANBNK,0.0,XX,230.8,233.55,229.4,232.65,232.65,6543,27259.69,48951000,-2158200,02-MAY-2023,,25-05-2023
FUTSTK,BANKBARODA,0.0,XX,189.65,190.1,188.05,188.75,188.75,3817,42189.15,86878350,544050,02-MAY-2023,,25-05-2023
FUTSTK,BATAINDIA,0.0,XX,1489.45,1506.0,1487.15,1499.25,1499.25,2681,11058.37,2260500,-66825,02-MAY-2023,,25-05-2023
FUTSTK,BEL,0.0,XX,104.5,105.5,103.85,104.9,104.9,3526,21038.4,81772200,-2268600,02-MAY-2023,,25-05-2023
FUTSTK,BERGEPAINT,0.0,XX,607.5,614.75,607.15,610.05,610.05,1685,11324.78,8395200,38500,02-MAY-2023,,25-05-2023
FUTSTK,BHARATFORG,0.0,XX,802.35,806.1,798.25,802.25,802.25,3324,26678.44,8173000,226000,02-MAY-2023,,25-05-2023
FUTSTK,BHARTIARTL,0.0,XX,800.05,808.2,792.1,793.3,793.3,8431,63886.75,40659050,-966150,02-MAY-2023,,25-05-2023
FUTSTK,BHEL,0.0,XX,78.8,82.8,78.8,82.15,82.15,5587,47764.66,97356000,2520000,02-MAY-2023,,25-05-2023
FUTSTK,BIOCON,0.0,XX,233.6,240.7,233.4,239.85,239.85,3044,16711.07,25306900,-1336300,02-MAY-2023,,25-05-2023
FUTSTK,BOSCHLTD,0.0,XX,19530.05,19952.9,19452.55,19866.9,19866.9,1247,12327.19,130450,-2950,02-MAY-2023,,25-05-2023
FUTSTK,BPCL,0.0,XX,360.25,367.25,360.05,363.0,363.0,2200,14396.82,14466600,-298800,02-MAY-2023,,25-05-2023
FUTSTK,BRITANNIA,0.0,XX,4568.15,4620.0,4517.5,4527.35,4527.35,1948,17767.92,1468000,37600,02-MAY-2023,,25-05-2023
FUTSTK,BSOFT,0.0,XX,274.65,282.05,274.5,280.0,280.0,1522,8511.02,7754000,120000,02-MAY-2023,,25-05-2023
FUTSTK,CANBK,0.0,XX,319.65,323.25,318.9,321.5,321.5,4304,37323.91,39171600,-367200,02-MAY-2023,,25-05-2023
FUTSTK,CANFINHOME,0.0,XX,623.6,636.35,621.15,630.7,630.7,1378,8453.63,3722550,220350,02-MAY-2023,,25-05-2023
FUTSTK,CHAMBLFERT,0.0,XX,289.9,292.9,285.8,289.8,289.8,1433,6229.7,5344500,297000,02-MAY-2023,,25-05-2023
FUTSTK,CHOLAFIN,0.0,XX,874.5,896.0,874.5,875.95,875.95,2941,32531.66,10158750,451250,02-MAY-2023,,25-05-2023
FUTSTK,CIPLA,0.0,XX,915.75,924.2,912.0,922.0,922.0,2509,14980.26,14524250,98800,02-MAY-2023,,25-05-2023
